City,Average Cost for Two,Has Table Booking,Has Online Delivery,Is Delivering Now,Price Range,Aggregate Rating,Votes,Aggregate Rating/Average Cost for Two,Longitude_Of_City,Latitude_Of_City
Faridabad,1200,Yes,No,No,3,0.0,0,0.0025,28.4089,77.3178
Faridabad,1500,No,No,No,3,0.0,0,0.0031538461538461538,28.4089,77.3178
Faridabad,1500,Yes,No,No,3,0.0,0,0.008,28.4089,77.3178
Faridabad,100,No,No,No,1,0.0,2,0.013500000000000002,28.4089,77.3178
Faridabad,1500,Yes,No,No,3,0.0,3,0.00425,28.4089,77.3178
Faridabad,300,No,No,No,1,0.0,0,0.0024,28.4089,77.3178
Faridabad,500,No,No,No,2,0.0,0,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,0.0,0,0.0112,28.4089,77.3178
Faridabad,400,No,No,No,1,0.0,0,0.0,28.4089,77.3178
Faridabad,1000,No,No,No,3,3.0,15,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,3.2,19,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,2.8,8,0.0,28.4089,77.3178
Faridabad,300,No,No,No,1,0.0,0,0.0,28.4089,77.3178
Faridabad,450,No,No,No,1,2.8,20,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,3.1,11,0.0,28.4089,77.3178
Faridabad,150,No,No,No,1,3.0,11,0.0,28.4089,77.3178
Faridabad,450,No,Yes,No,1,3.1,7,0.0,28.4089,77.3178
Faridabad,700,Yes,No,No,2,2.9,13,0.0,28.4089,77.3178
Faridabad,400,No,No,No,1,0.0,0,0.003,28.4089,77.3178
Faridabad,700,No,No,No,2,0.0,3,0.0064,28.4089,77.3178
Faridabad,500,No,No,No,2,0.0,0,0.0056,28.4089,77.3178
Faridabad,800,Yes,Yes,No,2,3.3,25,0.0,28.4089,77.3178
Faridabad,300,No,No,No,1,3.0,22,0.006222222222222222,28.4089,77.3178
Faridabad,450,No,No,No,1,2.6,26,0.0062,28.4089,77.3178
Faridabad,700,No,Yes,No,2,2.9,16,0.02,28.4089,77.3178
Faridabad,200,No,No,No,1,2.9,7,0.006888888888888889,28.4089,77.3178
Faridabad,1500,Yes,Yes,No,3,3.1,28,0.004142857142857143,28.4089,77.3178
Faridabad,550,No,No,No,2,0.0,0,0.0,28.4089,77.3178
Faridabad,400,No,No,No,1,0.0,0,0.0,28.4089,77.3178
